package,version,normalised_version,section,nvd_vendor,nvd_product,queried
iwinfo,2022-12-15-8d158096-1,2022-12-15-8d158096,,,,no
liblucihttp0,2023-03-15-9b5b683f-1,2023-03-15-9b5b683f,,,,no
cgi-io,2022-08-10-901b0f04-21,2022-08-10-901b0f04,,,,no
luci-lib-base,git-20.232.39649-1f6dc29,git-20.232.39649-1f6dc29,,,,no
libc,1.2.3-4,1.2.3,,,,no
kmod-crypto-gf128,5.10.221-1,5.10.221,,,,no
opkg,2022-02-24-d038e5b6-1,2022-02-24-d038e5b6,,,,no
kmod-usb-core,5.10.221-1,5.10.221,,,,no
luci-app-opkg,git-24.045.79537-9f5b5dd,git-24.045.79537-9f5b5dd,,,,no
libpthread,1.2.3-4,1.2.3,,,,no
ubus,2022-06-01-2bebf93c-1,2022-06-01-2bebf93c,,,,no
iw,5.16-1,5.16,,,,no
kmod-crypto-manager,5.10.221-1,5.10.221,,,,no
libuci20130104,2021-10-22-f84f49f0-6,2021-10-22-f84f49f0,,,,no
rpcd,2022-12-15-7de4820c-1,2022-12-15-7de4820c,,,,no
busybox,1.35.0-5,1.35.0,,busybox,busybox,yes
kmod-crypto-ctr,5.10.221-1,5.10.221,,,,no
luci-lib-ip,git-23.311.79310-704a335,git-23.311.79310-704a335,,,,no
kmod-nft-fib,5.10.221-1,5.10.221,,,,no
kmod-nfnetlink,5.10.221-1,5.10.221,,,,no
libubus-lua,2022-06-01-2bebf93c-1,2022-06-01-2bebf93c,,,,no
kmod-crypto-hash,5.10.221-1,5.10.221,,,,no
kmod-nf-reject6,5.10.221-1,5.10.221,,,,no
kmod-crypto-aead,5.10.221-1,5.10.221,,,,no
libiwinfo-lua,2022-12-15-8d158096-1,2022-12-15-8d158096,,,,no
swconfig,12,12,,,,no
luci-mod-system,git-24.067.02339-de5734b,git-24.067.02339-de5734b,,,,no
kmod-nf-flow,5.10.221-1,5.10.221,,,,no
libnl-tiny1,2021-11-21-8e0555fb-1,2021-11-21-8e0555fb,,,,no
libustream-wolfssl20201210,2022-12-08-9217ab46-2,2022-12-08-9217ab46,,,,no
kmod-lib-crc-ccitt,5.10.221-1,5.10.221,,,,no
getrandom,2021-08-03-205defb5-2,2021-08-03-205defb5,,,,no
ucode-mod-ubus,2022-12-02-46d93c9c-1,2022-12-02-46d93c9c,,,,no
luci-theme-bootstrap,git-24.072.69887-4219a92,git-24.072.69887-4219a92,,,,no
kmod-pppoe,5.10.221-1,5.10.221,,,,no
kmod-pppox,5.10.221-1,5.10.221,,,,no
wpad-basic-wolfssl,2022-01-16-cff80b4f-21.3,2022-01-16-cff80b4f-21.3,,w1.fi,hostapd,yes
kmod-nf-reject,5.10.221-1,5.10.221,,,,no
procd-ujail,2022-06-01-7a009685-3,2022-06-01-7a009685,,,,no
base-files,1506-r20341-591b7e93d3,1506-r20341-591b7e93d3,,,,no
kmod-nf-nat,5.10.221-1,5.10.221,,,,no
libwolfssl5.7.2.ee39414e,5.7.2-stable-1,5.7.2-stable,,,,no
kmod-crypto-crc32c,5.10.221-1,5.10.221,,,,no
ucode-mod-uci,2022-12-02-46d93c9c-1,2022-12-02-46d93c9c,,,,no
netifd,2022-08-25-76d2d41b-1,2022-08-25-76d2d41b,,,,no
libubus20220601,2022-06-01-2bebf93c-1,2022-06-01-2bebf93c,,,,no
firewall4,2022-10-18-7ae5e14b-1,2022-10-18-7ae5e14b,,,,no
uboot-envtools,2022.01-40,2022.01,,,,no
dnsmasq,2.86-16,2.86,,thekelleys,dnsmasq,yes
procd,2022-06-01-7a009685-3,2022-06-01-7a009685,,,,no
kmod-phy-ath79-usb,5.10.221-1,5.10.221,,,,no
kmod-crypto-hmac,5.10.221-1,5.10.221,,,,no
kmod-crypto-sha256,5.10.221-1,5.10.221,,,,no
ubusd,2022-06-01-2bebf93c-1,2022-06-01-2bebf93c,,,,no
px5g-wolfssl,6.2,6.2,,,,no
kmod-lib-crc32c,5.10.221-1,5.10.221,,,,no
kmod-usb-ehci,5.10.221-1,5.10.221,,,,no
luci-mod-status,git-24.087.58505-279cf19,git-24.087.58505-279cf19,,,,no
libjson-script20220515,2022-05-15-d2223ef9-1,2022-05-15-d2223ef9,,,,no
kmod-crypto-seqiv,5.10.221-1,5.10.221,,,,no
kmod-nft-nat,5.10.221-1,5.10.221,,,,no
kmod-usb2,5.10.221-1,5.10.221,,,,no
luci-app-firewall,git-24.067.02332-0337416,git-24.067.02332,,,,no
libmnl0,1.0.5-1,1.0.5,,,,no
jansson4,2.13.1-2,2.13.1,,,,no
odhcp6c,2022-08-05-7d21e8d8-18,2022-08-05-7d21e8d8,,,,no
fstools,2022-06-02-93369be0-2,2022-06-02-93369be0,,,,no
uclient-fetch,2023-04-13-007d9454-1,2023-04-13-007d9454,,,,no
kmod-crypto-ghash,5.10.221-1,5.10.221,,,,no
kmod-ath9k,5.10.221+5.15.162-1-1,5.10.221,,,,no
uci,2021-10-22-f84f49f0-6,2021-10-22-f84f49f0,,,,no
lua,5.1.5-11,5.1.5,,,,no
ucode-mod-fs,2022-12-02-46d93c9c-1,2022-12-02-46d93c9c,,,,no
luci-ssl,git-20.244.36115-e10f954,git-20.244.36115-e10f954,,,,no
dropbear,2022.82-4,2022.82,,dropbear_ssh_project,dropbear_ssh,yes
kmod-hwmon-core,5.10.221-1,5.10.221,,,,no
libnftnl11,1.2.1-2,1.2.1,,,,no
rpcd-mod-file,2022-12-15-7de4820c-1,2022-12-15-7de4820c,,,,no
mtd,26,26,,,,no
odhcpd-ipv6only,2023-01-02-4a673e1c-2,2023-01-02-4a673e1c,,,,no
procd-seccomp,2022-06-01-7a009685-3,2022-06-01-7a009685,,,,no
ath10k-firmware-qca988x-ct,2020-11-08-1,2020-11-08,,,,no
libiwinfo-data,2022-12-15-8d158096-1,2022-12-15-8d158096,,,,no
ucode,2022-12-02-46d93c9c-1,2022-12-02-46d93c9c,,,,no
rpcd-mod-luci,20210614,20210614,,,,no
kmod-crypto-ccm,5.10.221-1,5.10.221,,,,no
kmod-nf-log,5.10.221-1,5.10.221,,,,no
urandom-seed,3,3,,,,no
luci-proto-ppp,git-24.135.45225-e7a8d09,git-24.135.45225-e7a8d09,,,,no
luci-mod-admin-full,git-19.253.48496-3f93650,git-19.253.48496-3f93650,,,,no
ppp,2.4.9.git-2021-01-04-3,2.4.9.git-2021-01-04,,paul_mackerras,point-to-point_protocol,yes
luci-base,git-24.067.02332-4c1ddfb,git-24.067.02332-4c1ddfb,,,,no
kmod-gpio-button-hotplug,5.10.221-3,5.10.221,,,,no
logd,2021-08-03-205defb5-2,2021-08-03-205defb5,,,,no
kmod-nf-log6,5.10.221-1,5.10.221,,,,no
kmod-mac80211,5.10.221+5.15.162-1-1,5.10.221,,,,no
libblobmsg-json20220515,2022-05-15-d2223ef9-1,2022-05-15-d2223ef9,,,,no
luci-proto-ipv6,git-23.355.78888-e047387,git-23.355.78888-e047387,,,,no
openwrt-keyring,2022-03-25-62471e69-3,2022-03-25-62471e69,,,,no
jshn,2022-05-15-d2223ef9-1,2022-05-15-d2223ef9,,,,no
nftables-json,1.0.2-2.1,1.0.2-2.1,,,,no
kmod-nft-offload,5.10.221-1,5.10.221,,,,no
kmod-ppp,5.10.221-1,5.10.221,,,,no
kmod-crypto-null,5.10.221-1,5.10.221,,,,no
libiwinfo20210430,2022-12-15-8d158096-1,2022-12-15-8d158096,,,,no
libjson-c5,0.15-2,0.15,,,,no
uhttpd,2023-06-25-34a8a74d-1,2023-06-25-34a8a74d,,openwrt,uhttpd,yes
kmod-nf-conntrack,5.10.221-1,5.10.221,,,,no
ath10k-board-qca988x,20230804-1,20230804,,,,no
usign,2020-05-23-f1f65026-1,2020-05-23-f1f65026,,,,no
liblua5.1.5,5.1.5-11,5.1.5,,,,no
kmod-crypto-gcm,5.10.221-1,5.10.221,,,,no
kmod-ath10k-ct,5.10.221+2022-05-13-f808496f-1,5.10.221+2022-05-13-f808496f,,,,no
luci-lib-nixio,git-24.034.55122-b50146c,git-24.034.55122-b50146c,,,,no
libubox20220515,2022-05-15-d2223ef9-1,2022-05-15-d2223ef9,,,,no
ca-bundle,20230311-1,20230311,,,,no
libuclient20201210,2023-04-13-007d9454-1,2023-04-13-007d9454,,,,no
liblucihttp-lua,2023-03-15-9b5b683f-1,2023-03-15-9b5b683f,,,,no
kmod-crypto-cmac,5.10.221-1,5.10.221,,,,no
luci-lib-jsonc,git-23.298.74581-7dfbbca,git-23.298.74581-7dfbbca,,,,no
kmod-crypto-rng,5.10.221-1,5.10.221,,,,no
luci,git-23.093.42303-d58cd69,git-23.093.42303-d58cd69,,,,no
kmod-nf-conntrack6,5.10.221-1,5.10.221,,,,no
libgcc1,11.2.0-4,11.2.0,,,,no
kmod-usb-ledtrig-usbport,5.10.221-1,5.10.221,,,,no
libucode20220812,2022-12-02-46d93c9c-1,2022-12-02-46d93c9c,,,,no
kmod-ath,5.10.221+5.15.162-1-1,5.10.221,,,,no
ubox,2021-08-03-205defb5-2,2021-08-03-205defb5,,,,no
kernel,5.10.221-1-2183c0da82cf7f227aeb28af12597c52,5.10.221-1-2183c0da82cf7f227aeb28af12597c52,,linux,linux_kernel,yes
rpcd-mod-iwinfo,2022-12-15-7de4820c-1,2022-12-15-7de4820c,,,,no
luci-mod-network,git-24.075.44908-000d7e5,git-24.075.44908-000d7e5,,,,no
kmod-nft-core,5.10.221-1,5.10.221,,,,no
kmod-nls-base,5.10.221-1,5.10.221,,,,no
uhttpd-mod-ubus,2023-06-25-34a8a74d-1,2023-06-25-34a8a74d,,,,no
fwtool,2019-11-12-8f7fe925-1,2019-11-12-8f7fe925,,,,no
jsonfilter,2024-01-23-594cfa86-1,2024-01-23-594cfa86,,,,no
hostapd-common,2022-01-16-cff80b4f-21.3,2022-01-16-cff80b4f-21.3,,w1.fi,hostapd,yes
kmod-ath9k-common,5.10.221+5.15.162-1-1,5.10.221,,,,no
wireless-regdb,2024.07.04-1,2024.07.04,,,,no
urngd,2023-11-01-44365eb1-1,2023-11-01-44365eb1,,,,no
kmod-slhc,5.10.221-1,5.10.221,,,,no
kmod-cfg80211,5.10.221+5.15.162-1-1,5.10.221,,,,no
rpcd-mod-rrdns,20170710,20170710,,,,no
ppp-mod-pppoe,2.4.9.git-2021-01-04-3,2.4.9.git-2021-01-04,,,,no
